Portfolio,Date,Week_End,Month,Operator,Brand,marketing_source,NRCs,NDCs,QNDCs,Deposits,Net Revenue,Revshare,CPA,Total Commission
SEO,08/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-SPO-GLO,0,0,0,0,0,0,0,0
SEO,09/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-SPO-GLO,0,0,0,0,0,0,0,0
SEO,10/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-SPO-GLO,0,0,0,0,0,0,0,0
SEO,11/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-SPO-GLO,0,0,0,0,0,0,0,0
SEO,12/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-SPO-GLO,0,0,0,0,0,0,0,0
SEO,13/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-SPO-GLO,0,0,0,0,0,0,0,0
SEO,14/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-SPO-GLO,0,0,0,0,0,0,0,0
SEO,15/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-SPO-GLO,0,0,0,0,0,0,0,0
SEO,16/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-SPO-GLO,0,0,0,0,0,0,0,0
SEO,17/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-SPO-GLO,0,0,0,0,0,0,0,0
SEO,18/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-SPO-GLO,0,0,0,0,0,0,0,0
SEO,19/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-SPO-GLO,0,0,0,0,0,0,0,0
SEO,20/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-SPO-GLO,0,0,0,0,0,0,0,0
SEO,21/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-SPO-GLO,0,0,0,0,0,0,0,0
